,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
489,"81-120
81 - 120 |","Btgl
B1g_1","16.2
16.2","36.3
36.3","47.5
47.5",cc,33,77..55,"0.12
0.12",,195,21.325,83.29583333,Orissa
490,"Depth |
Deptb
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -00. .0 05
5
mm)
mm)
(%% )","SSiillt t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%“%))","Texture
Texture","| CCo oa ars rse e
ff rra ag g. . |
vvool.l . |
((%%) )","pH
| pH
11: :2 2. .5 5 |
wwa ate ter
r","EC
EC
11: :2 2. .5
5
water
| water
(dS/m)
(dS/m)",,197,27.28444444,88.28472222,Orissa
491,"0-13
0-13","Ap
Ap","64.0
64.0","17.3
17.3","]1 8 8. .7
7",ssll,"-
-","6.6
6.6","0.52
0.52",,197,27.28444444,88.28472222,Orissa
492,11 33 - -2 27 7 |,"Bw
Bwl","66.7
66.7","10.5
10.5","22.8
22.8",sscclI,"-
:",66..88,"0.71
0.71",,197,27.28444444,88.28472222,Orissa
493,227 7- -4 42 2 |,"Bw2
Bw2","62.4
62.4","12.3
12.3","25.3
25.3","scl
scI","-
-","6.7
6.7","0.65
0.65",,197,27.28444444,88.28472222,Orissa
494,44 22 - -9 95 5 |,"BBw w3
3","58.9
58.9","11.7
11.7","29.4
29.4",sscclI,"-
-",66..77,"0.55
0.55",,197,27.28444444,88.28472222,Orissa
495,9 955 - -1 1 17 1 7 |,"BBw w4
4","56.4
56.4","11.9
11.9","31.7
31.7","scl
scI",55,66..88,"0.48
0.48",,197,27.28444444,88.28472222,Orissa
496,"117-135
117-135",| BBw ws S,"55.2
55.2","13.2
13.2","31.6
31.6","scl
sci",1155,"6.9
6.9","0.44
0.44",,197,27.28444444,88.28472222,Orissa
497,"DDe ep pth th |
(em)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSillti t
(0.05-
(0.05-
|
0.002mm)|
0.OO2mm)
|
()
(%)","Clay
Clay
(<0.002
«0.002
mm)
mm)
_((*%%))","Texture
Texture","| CCo oa ars rse e
!fr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
((ddSS//mm) )",,199,21.49166667,88.52777778,Orissa
498,"0-11
0-11","Ap
A_p","50.2
50.2","20.9
20.9","23.5
23.5","scl
sci","-
-","5.6
5.6","0.14
0.14",,199,21.49166667,88.52777778,Orissa
